anulovať	скасувати	anulovať	скасувати	NFIN;V
brány	борони	brány	борона	ACC;N;PL
bytoch	домах	byt	дім	ESS;N;PL
bytom	домом	byt	дім	INS;N;SG
bytom	домам	byt	дім	DAT;N;PL
bytov	домів	byt	дім	GEN;N;PL
byte	домі	byt	дім	ESS;N;SG
bytu	дому	byt	дім	GEN;N;SG
byt	дім	byt	дім	N;NOM;SG
byty	доми	byt	дім	N;NOM;PL
bytu	дому	byt	дім	DAT;N;SG
bytmi	домами	byt	дім	INS;N;PL
byt	дім	byt	дім	ACC;N;SG
byty	доми	byt	дім	ACC;N;PL
byty	житла	byt	житло	ACC;N;PL
bytoch	житлах	byt	житло	ESS;N;PL
bytu	житлу	byt	житло	DAT;N;SG
byte	житлі	byt	житло	ESS;N;SG
bytu	житла	byt	житло	GEN;N;SG
bytov	жител	byt	житло	GEN;N;PL
byt	житло	byt	житло	N;NOM;SG
bytom	житлам	byt	житло	DAT;N;PL
bytmi	житлами	byt	житло	INS;N;PL
bytom	житлом	byt	житло	INS;N;SG
byt	житло	byt	житло	ACC;N;SG
byty	житла	byt	житло	N;NOM;PL
bytom	квартирою	byt	квартира	INS;N;SG
bytoch	квартирах	byt	квартира	ESS;N;PL
byty	квартири	byt	квартира	N;NOM;PL
byte	квартирі	byt	квартира	ESS;N;SG
bytu	квартирі	byt	квартира	DAT;N;SG
bytov	квартир	byt	квартира	GEN;N;PL
byt	квартиру	byt	квартира	ACC;N;SG
bytu	квартири	byt	квартира	GEN;N;SG
bytom	квартирам	byt	квартира	DAT;N;PL
byt	квартира	byt	квартира	N;NOM;SG
byty	квартири	byt	квартира	ACC;N;PL
bytmi	квартирами	byt	квартира	INS;N;PL
bytoch	помешканнях	byt	помешкання	ESS;N;PL
byt	помешкання	byt	помешкання	ACC;N;SG
byty	помешкання	byt	помешкання	ACC;N;PL
byt	помешкання	byt	помешкання	N;NOM;SG
byty	помешкання	byt	помешкання	N;NOM;PL
bytu	помешкання	byt	помешкання	GEN;N;SG
byte	помешканні	byt	помешкання	ESS;N;SG
bytmi	помешканнями	byt	помешкання	INS;N;PL
bytu	помешканню	byt	помешкання	DAT;N;SG
bytom	помешканням	byt	помешкання	DAT;N;PL
bytov	помешкань	byt	помешкання	GEN;N;PL
bytom	помешканням	byt	помешкання	INS;N;SG
bývali	були	byť	бути	3;MASC;PL;PST;V
buď	будь	byť	бути	2;IMP;SG;V
ste	єсьте	byť	бути	2;PL;PRS;V
bývala	була	byť	бути	3;FEM;PST;SG;V
si	єси	byť	бути	2;PRS;SG;V
sú	суть	byť	бути	3;PL;PRS;V
byť	бути	byť	бути	NFIN;V
býval	був	byť	бути	3;MASC;PST;SG;V
je	є	byť	бути	3;PRS;SG;V
buďme	будьмо	byť	бути	1;IMP;PL;V
sme	єсьмо	byť	бути	1;PL;PRS;V
buďte	будьте	byť	бути	2;IMP;PL;V
bude	буде	byť	бути	3;FUT;SG;V
budeš	будеш	byť	бути	2;FUT;SG;V
bývalo	було	byť	бути	3;NEUT;PST;SG;V
budem	буду	byť	бути	1;FUT;SG;V
bývali	були	byť	бути	3;FEM;PL;PST;V
som	єсьми	byť	бути	1;PRS;SG;V
básni	поезії	báseň	поезія	DAT;N;SG
báseň	поезію	báseň	поезія	ACC;N;SG
básňou	поезією	báseň	поезія	INS;N;SG
básne	поезії	báseň	поезія	ACC;N;PL
básne	поезії	báseň	поезія	N;NOM;PL
básní	поезій	báseň	поезія	GEN;N;PL
básňami	поезіями	báseň	поезія	INS;N;PL
báseň	поезія	báseň	поезія	N;NOM;SG
básňam	поезіям	báseň	поезія	DAT;N;PL
básne	поезії	báseň	поезія	GEN;N;SG
básni	поезії	báseň	поезія	ESS;N;SG
básňach	поезіях	báseň	поезія	ESS;N;PL
capom	козам	cap	коза	DAT;N;PL
capoch	козах	cap	коза	ESS;N;PL
capa	кози	cap	коза	GEN;N;SG
capmi	козами	cap	коза	INS;N;PL
capy	кози	cap	коза	N;NOM;PL
capov	кіз	cap	коза	GEN;N;PL
capovi	козі	cap	коза	ESS;N;SG
capa	козу	cap	коза	ACC;N;SG
capy	кози	cap	коза	ACC;N;PL
capovi	козі	cap	коза	DAT;N;SG
cap	коза	cap	коза	N;NOM;SG
capom	козою	cap	коза	INS;N;SG
capmi	цапами	cap	цап	INS;N;PL
capom	цапом	cap	цап	INS;N;SG
capy	цапи	cap	цап	N;NOM;PL
capovi	цапові	cap	цап	ESS;N;SG
capovi	цапові	cap	цап	DAT;N;SG
capa	цапа	cap	цап	GEN;N;SG
capoch	цапах	cap	цап	ESS;N;PL
capov	цапів	cap	цап	GEN;N;PL
capom	цапам	cap	цап	DAT;N;PL
capy	цапи	cap	цап	ACC;N;PL
capa	цапа	cap	цап	ACC;N;SG
cap	цап	cap	цап	N;NOM;SG
chalanoch	хлопцях	chalan	хлопець	ESS;N;PL
chalanom	хлопцям	chalan	хлопець	DAT;N;PL
chalanom	хлопцем	chalan	хлопець	INS;N;SG
chalani	хлопці	chalan	хлопець	N;NOM;PL
chalanov	хлопців	chalan	хлопець	ACC;N;PL
chalanovi	хлопцеві	chalan	хлопець	ESS;N;SG
chalanmi	хлопцями	chalan	хлопець	INS;N;PL
chalana	хлопця	chalan	хлопець	ACC;N;SG
chalana	хлопця	chalan	хлопець	GEN;N;SG
chalan	хлопець	chalan	хлопець	N;NOM;SG
chalanovi	хлопцеві	chalan	хлопець	DAT;N;SG
chalanov	хлопців	chalan	хлопець	GEN;N;PL
chlapa	мужа	chlap	муж	ACC;N;SG
chlapov	мужів	chlap	муж	ACC;N;PL
chlapoch	мужах	chlap	муж	ESS;N;PL
chlapov	мужів	chlap	муж	GEN;N;PL
chlapovi	мужеві	chlap	муж	ESS;N;SG
chlapmi	мужами	chlap	муж	INS;N;PL
chlapa	мужа	chlap	муж	GEN;N;SG
chlapi	мужі	chlap	муж	N;NOM;PL
chlapom	мужем	chlap	муж	INS;N;SG
chlap	муж	chlap	муж	N;NOM;SG
chlapovi	мужеві	chlap	муж	DAT;N;SG
chlapom	мужам	chlap	муж	DAT;N;PL
chlapov	чоловіків	chlap	чоловік	ACC;N;PL
chlap	чоловік	chlap	чоловік	N;NOM;SG
chlapov	чоловіків	chlap	чоловік	GEN;N;PL
chlapa	чоловіка	chlap	чоловік	ACC;N;SG
chlapi	чоловіки	chlap	чоловік	N;NOM;PL
chlapa	чоловіка	chlap	чоловік	GEN;N;SG
chlapovi	чоловікові	chlap	чоловік	ESS;N;SG
chlapom	чоловікам	chlap	чоловік	DAT;N;PL
chlapoch	чоловіках	chlap	чоловік	ESS;N;PL
chlapovi	чоловікові	chlap	чоловік	DAT;N;SG
chlapmi	чоловіками	chlap	чоловік	INS;N;PL
chlapom	чоловіком	chlap	чоловік	INS;N;SG
choroby	хвороби	choroba	хвороба	N;NOM;PL
chorôb	хвороб	choroba	хвороба	GEN;N;PL
choroby	хвороби	choroba	хвороба	GEN;N;SG
choroby	хвороби	choroba	хвороба	ACC;N;PL
chorobu	хворобу	choroba	хвороба	ACC;N;SG
choroba	хвороба	choroba	хвороба	N;NOM;SG
chorobe	хворобі	choroba	хвороба	DAT;N;SG
chorobám	хворобам	choroba	хвороба	DAT;N;PL
chorobami	хворобами	choroba	хвороба	INS;N;PL
chorobe	хворобі	choroba	хвороба	ESS;N;SG
chorobách	хворобах	choroba	хвороба	ESS;N;PL
chorobou	хворобою	choroba	хвороба	INS;N;SG
chrbtoch	спинах	chrbát	спина	ESS;N;PL
chrbtov	спин	chrbát	спина	GEN;N;PL
chrbta	спини	chrbát	спина	GEN;N;SG
chrbtom	спинам	chrbát	спина	DAT;N;PL
chrbát	спину	chrbát	спина	ACC;N;SG
chrbty	спини	chrbát	спина	N;NOM;PL
chrbty	спини	chrbát	спина	ACC;N;PL
chrbtom	спиною	chrbát	спина	INS;N;SG
chrbtami	спинами	chrbát	спина	INS;N;PL
chrbtu	спині	chrbát	спина	DAT;N;SG
chrbte	спині	chrbát	спина	ESS;N;SG
chrbát	спина	chrbát	спина	N;NOM;SG
cigaretami	цигарками	cigareta	цигарка	INS;N;PL
cigaretu	цигарку	cigareta	цигарка	ACC;N;SG
cigarete	цигарці	cigareta	цигарка	DAT;N;SG
cigarety	цигарки	cigareta	цигарка	ACC;N;PL
cigarete	цигарці	cigareta	цигарка	ESS;N;SG
cigarety	цигарки	cigareta	цигарка	GEN;N;SG
cigarety	цигарки	cigareta	цигарка	N;NOM;PL
cigaretám	цигаркам	cigareta	цигарка	DAT;N;PL
cigareta	цигарка	cigareta	цигарка	N;NOM;SG
cigaretou	цигаркою	cigareta	цигарка	INS;N;SG
cigaretách	цигарках	cigareta	цигарка	ESS;N;PL
cigariet	цигарок	cigareta	цигарка	GEN;N;PL
cároch	царях	cár	цар	ESS;N;PL
cára	царя	cár	цар	ACC;N;SG
cárovi	цареві	cár	цар	ESS;N;SG
cármi	царями	cár	цар	INS;N;PL
cár	цар	cár	цар	N;NOM;SG
cárov	царів	cár	цар	GEN;N;PL
cárov	царів	cár	цар	ACC;N;PL
cárom	царем	cár	цар	INS;N;SG
cárom	царям	cár	цар	DAT;N;PL
cára	царя	cár	цар	GEN;N;SG
cárovi	цареві	cár	цар	DAT;N;SG
cári	царі	cár	цар	N;NOM;PL
dať	дати	dať	дати	NFIN;V
dievčaťa	дівчини	dievča	дівчина	GEN;N;SG
dievčat	дівчат	dievča	дівчина	GEN;N;PL
dievčatá	дівчата	dievča	дівчина	N;NOM;PL
dievčatám	дівчатам	dievča	дівчина	DAT;N;PL
dievčaťom	дівчиною	dievča	дівчина	INS;N;SG
dievčati	дівчині	dievča	дівчина	ESS;N;SG
dievča	дівчину	dievča	дівчина	ACC;N;SG
dievčatami	дівчатами	dievča	дівчина	INS;N;PL
dievčatách	дівчатах	dievča	дівчина	ESS;N;PL
dievčaťu	дівчині	dievča	дівчина	DAT;N;SG
dievčatá	дівчат	dievča	дівчина	ACC;N;PL
dievča	дівчина	dievča	дівчина	N;NOM;SG
dieťaťu	дитині	dieťa	дитина	DAT;N;SG
deťoch	дітях	dieťa	дитина	ESS;N;PL
detí	дітей	dieťa	дитина	GEN;N;PL
dieťa	дитина	dieťa	дитина	N;NOM;SG
dieťaťa	дитини	dieťa	дитина	GEN;N;SG
dieťa	дитину	dieťa	дитина	ACC;N;SG
dieťati	дитині	dieťa	дитина	ESS;N;SG
dieťaťom	дитиною	dieťa	дитина	INS;N;SG
deti	діти	dieťa	дитина	N;NOM;PL
deťmi	дітьми	dieťa	дитина	INS;N;PL
deti	дітей	dieťa	дитина	ACC;N;PL
deťom	дітям	dieťa	дитина	DAT;N;PL
dobrými	добрими	dobrý	добрий	ADJ;INS;PL
dobré	добрі	dobrý	добрий	ADJ;NOM;PL
dobré	добрих	dobrý	добрий	ACC;ADJ;PL
dobrej	добрій	dobrý	добрий	ADJ;DAT;FEM;SG
dobrý	добрий	dobrý	добрий	ADJ;MASC;NOM;SG
dobrej	доброї	dobrý	добрий	ADJ;FEM;GEN;SG
dobrá	добра	dobrý	добрий	ADJ;FEM;NOM;SG
dobrom	доброму	dobrý	добрий	ADJ;ESS;MASC;SG
dobrým	добрим	dobrý	добрий	ADJ;INS;MASC;SG
dobrou	доброю	dobrý	добрий	ADJ;FEM;INS;SG
dobrého	доброго	dobrý	добрий	ACC;ADJ;MASC;SG
dobrého	доброго	dobrý	добрий	ADJ;GEN;MASC;SG
dobrú	добру	dobrý	добрий	ACC;ADJ;FEM;SG
dobré	добре	dobrý	добрий	ADJ;NEUT;NOM;SG
dobrej	добрій	dobrý	добрий	ADJ;ESS;FEM;SG
dobrého	доброго	dobrý	добрий	ADJ;GEN;NEUT;SG
dobrému	доброму	dobrý	добрий	ADJ;DAT;NEUT;SG
dobrým	добрим	dobrý	добрий	ADJ;DAT;PL
dobrému	доброму	dobrý	добрий	ADJ;DAT;MASC;SG
dobré	добре	dobrý	добрий	ACC;ADJ;NEUT;SG
dobrých	добрих	dobrý	добрий	ADJ;ESS;PL
dobrom	доброму	dobrý	добрий	ADJ;ESS;NEUT;SG
dobrý	добрий	dobrý	добрий	ACC;ADJ;INAN;MASC;SG
dobrých	добрих	dobrý	добрий	ADJ;GEN;PL
dobrým	добрим	dobrý	добрий	ADJ;INS;NEUT;SG
dreva	дерева	drevo	дерево	GEN;N;SG
drevá	дерева	drevo	дерево	ACC;N;PL
drevu	дереву	drevo	дерево	DAT;N;SG
drevám	деревам	drevo	дерево	DAT;N;PL
drevách	деревах	drevo	дерево	ESS;N;PL
driev	дерев	drevo	дерево	GEN;N;PL
drevo	дерево	drevo	дерево	ACC;N;SG
drevo	дерево	drevo	дерево	N;NOM;SG
drevá	дерева	drevo	дерево	N;NOM;PL
drevom	деревом	drevo	дерево	INS;N;SG
drevami	деревами	drevo	дерево	INS;N;PL
dreve	дереві	drevo	дерево	ESS;N;SG
drozda	дрозда	drozd	дрізд	ACC;N;SG
drozdovi	дроздові	drozd	дрізд	DAT;N;SG
drozd	дрізд	drozd	дрізд	N;NOM;SG
drozdom	дроздом	drozd	дрізд	INS;N;SG
drozdoch	дроздах	drozd	дрізд	ESS;N;PL
drozdovi	дроздові	drozd	дрізд	ESS;N;SG
drozdom	дроздам	drozd	дрізд	DAT;N;PL
drozdy	дрозди	drozd	дрізд	N;NOM;PL
drozda	дрозда	drozd	дрізд	GEN;N;SG
drozdami	дроздами	drozd	дрізд	INS;N;PL
drozdov	дроздів	drozd	дрізд	GEN;N;PL
drozdy	дрозди	drozd	дрізд	ACC;N;PL
duší	душ	duša	душа	GEN;N;PL
dušou	душею	duša	душа	INS;N;SG
duše	душі	duša	душа	GEN;N;SG
duše	душі	duša	душа	ACC;N;PL
duša	душа	duša	душа	N;NOM;SG
dušiam	душам	duša	душа	DAT;N;PL
dušu	душу	duša	душа	ACC;N;SG
duše	душі	duša	душа	N;NOM;PL
duši	душі	duša	душа	ESS;N;SG
dušiach	душах	duša	душа	ESS;N;PL
duši	душі	duša	душа	DAT;N;SG
dušami	душами	duša	душа	INS;N;PL
dávať	дати	dávať	дати	NFIN;V
električky	трамваї	električka	трамвай	ACC;N;PL
električke	трамваї	električka	трамвай	ESS;N;SG
električkách	трамваях	električka	трамвай	ESS;N;PL
električkou	трамваєм	električka	трамвай	INS;N;SG
električiek	трамваїв	električka	трамвай	GEN;N;PL
električke	трамваю	električka	трамвай	DAT;N;SG
električkám	трамваям	električka	трамвай	DAT;N;PL
električka	трамвай	električka	трамвай	N;NOM;SG
električkami	трамваями	električka	трамвай	INS;N;PL
električku	трамвай	električka	трамвай	ACC;N;SG
električky	трамваї	električka	трамвай	N;NOM;PL
električky	трамвая	električka	трамвай	GEN;N;SG
fľaše	пляшки	fľaša	пляшка	ACC;N;PL
fľašami	пляшками	fľaša	пляшка	INS;N;PL
fľašiach	пляшках	fľaša	пляшка	ESS;N;PL
fľaše	пляшки	fľaša	пляшка	GEN;N;SG
fľašiam	пляшкам	fľaša	пляшка	DAT;N;PL
fliaš	пляшок	fľaša	пляшка	GEN;N;PL
fľaša	пляшка	fľaša	пляшка	N;NOM;SG
fľašu	пляшку	fľaša	пляшка	ACC;N;SG
fľašou	пляшкою	fľaša	пляшка	INS;N;SG
fľaši	пляшці	fľaša	пляшка	ESS;N;SG
fľaši	пляшці	fľaša	пляшка	DAT;N;SG
fľaše	пляшки	fľaša	пляшка	N;NOM;PL
grindu	гринду	grinda	гринда	ACC;N;SG
grindy	гринди	grinda	гринда	N;NOM;PL
grindami	гриндами	grinda	гринда	INS;N;PL
grinda	гринда	grinda	гринда	N;NOM;SG
grinde	гринді	grinda	гринда	DAT;N;SG
grinde	гринді	grinda	гринда	ESS;N;SG
grínd	гринд	grinda	гринда	GEN;N;PL
grindy	гринд	grinda	гринда	ACC;N;PL
grindy	гринди	grinda	гринда	GEN;N;SG
grindách	гриндах	grinda	гринда	ESS;N;PL
grindou	гриндою	grinda	гринда	INS;N;SG
grindám	гриндам	grinda	гринда	DAT;N;PL
hadom	зміям	had	змія	DAT;N;PL
hadovi	змії	had	змія	DAT;N;SG
hadovi	змії	had	змія	ESS;N;SG
hadmi	зміями	had	змія	INS;N;PL
hady	змії	had	змія	N;NOM;PL
had	змія	had	змія	N;NOM;SG
hady	змії	had	змія	ACC;N;PL
hada	змії	had	змія	GEN;N;SG
hadoch	зміях	had	змія	ESS;N;PL
hada	змію	had	змія	ACC;N;SG
hadom	змією	had	змія	INS;N;SG
hadov	змій	had	змія	GEN;N;PL
hlasu	голосу	hlas	голос	GEN;N;SG
hlasmi	голосами	hlas	голос	INS;N;PL
hlasy	голоси	hlas	голос	N;NOM;PL
hlas	голос	hlas	голос	ACC;N;SG
hlasom	голосам	hlas	голос	DAT;N;PL
hlasy	голоси	hlas	голос	ACC;N;PL
hlasoch	голосах	hlas	голос	ESS;N;PL
hlase	голосі	hlas	голос	ESS;N;SG
hlasu	голосу	hlas	голос	DAT;N;SG
hlas	голос	hlas	голос	N;NOM;SG
hlasov	голосів	hlas	голос	GEN;N;PL
hlasom	голосом	hlas	голос	INS;N;SG
hlavou	розділом	hlava	розділ	INS;N;SG
hlava	розділ	hlava	розділ	N;NOM;SG
hlavy	розділу	hlava	розділ	GEN;N;SG
hlavy	розділи	hlava	розділ	ACC;N;PL
hlavu	розділ	hlava	розділ	ACC;N;SG
hlave	розділу	hlava	розділ	DAT;N;SG
hlave	розділі	hlava	розділ	ESS;N;SG
hlavách	розділах	hlava	розділ	ESS;N;PL
hlavám	розділам	hlava	розділ	DAT;N;PL
hláv	розділів	hlava	розділ	GEN;N;PL
hlavy	розділи	hlava	розділ	N;NOM;PL
hlavami	розділами	hlava	розділ	INS;N;PL
hodina	година	hodina	година	N;NOM;SG
hodiny	години	hodina	година	GEN;N;SG
hodinu	годину	hodina	година	ACC;N;SG
hodiny	години	hodina	година	N;NOM;PL
hodinách	годинах	hodina	година	ESS;N;PL
hodinou	годиною	hodina	година	INS;N;SG
hodín	годин	hodina	година	GEN;N;PL
hodinami	годинами	hodina	година	INS;N;PL
hodinám	годинам	hodina	година	DAT;N;PL
hodine	годині	hodina	година	DAT;N;SG
hodine	годині	hodina	година	ESS;N;SG
hodiny	години	hodina	година	ACC;N;PL
hre	грі	hra	гра	DAT;N;SG
hry	гри	hra	гра	GEN;N;SG
hrami	іграми	hra	гра	INS;N;PL
hrám	іграм	hra	гра	DAT;N;PL
hra	гра	hra	гра	N;NOM;SG
hrách	іграх	hra	гра	ESS;N;PL
hrou	грою	hra	гра	INS;N;SG
hry	ігри	hra	гра	N;NOM;PL
hre	грі	hra	гра	ESS;N;SG
hier	ігор	hra	гра	GEN;N;PL
hry	ігри	hra	гра	ACC;N;PL
hru	гру	hra	гра	ACC;N;SG
hviezde	звізді	hviezda	звізда	ESS;N;SG
hviezde	звізді	hviezda	звізда	DAT;N;SG
hviezdou	звіздою	hviezda	звізда	INS;N;SG
hviezdy	звізди	hviezda	звізда	GEN;N;SG
hviezda	звізда	hviezda	звізда	N;NOM;SG
hviezdu	звізду	hviezda	звізда	ACC;N;SG
hviezdou	зіркою	hviezda	зірка	INS;N;SG
hviezda	зірка	hviezda	зірка	N;NOM;SG
hviezdy	зірки	hviezda	зірка	ACC;N;PL
hviezdách	зірках	hviezda	зірка	ESS;N;PL
hviezde	зірці	hviezda	зірка	DAT;N;SG
hviezdami	зірками	hviezda	зірка	INS;N;PL
hviezdu	зірку	hviezda	зірка	ACC;N;SG
hviezdám	зіркам	hviezda	зірка	DAT;N;PL
hviezdy	зірки	hviezda	зірка	N;NOM;PL
hviezdy	зірки	hviezda	зірка	GEN;N;SG
hviezd	зірок	hviezda	зірка	GEN;N;PL
hviezde	зірці	hviezda	зірка	ESS;N;SG
jablkom	яблуком	jablko	яблуко	INS;N;SG
jablká	яблука	jablko	яблуко	ACC;N;PL
jablka	яблука	jablko	яблуко	GEN;N;SG
jablkám	яблукам	jablko	яблуко	DAT;N;PL
jablko	яблуко	jablko	яблуко	N;NOM;SG
jablku	яблуку	jablko	яблуко	DAT;N;SG
jablku	яблуку	jablko	яблуко	ESS;N;SG
jablkách	яблуках	jablko	яблуко	ESS;N;PL
jablkami	яблуками	jablko	яблуко	INS;N;PL
jabĺk	яблук	jablko	яблуко	GEN;N;PL
jablká	яблука	jablko	яблуко	N;NOM;PL
jablko	яблуко	jablko	яблуко	ACC;N;SG
jarí	весен	jar	весна	GEN;N;PL
jarou	весною	jar	весна	INS;N;SG
jar	весна	jar	весна	N;NOM;SG
jari	весни	jar	весна	ACC;N;PL
jari	весні	jar	весна	ESS;N;SG
jari	весни	jar	весна	GEN;N;SG
jariam	веснам	jar	весна	DAT;N;PL
jar	весну	jar	весна	ACC;N;SG
jari	весни	jar	весна	N;NOM;PL
jarami	веснами	jar	весна	INS;N;PL
jari	весні	jar	весна	DAT;N;SG
jariach	веснах	jar	весна	ESS;N;PL
jastraboch	яструбах	jastrab	яструб	ESS;N;PL
jastrabovi	яструбові	jastrab	яструб	DAT;N;SG
jastrabov	яструбів	jastrab	яструб	GEN;N;PL
jastrab	яструб	jastrab	яструб	N;NOM;SG
jastrabmi	яструбами	jastrab	яструб	INS;N;PL
jastrabom	яструбом	jastrab	яструб	INS;N;SG
jastraby	яструби	jastrab	яструб	ACC;N;PL
jastraba	яструба	jastrab	яструб	ACC;N;SG
jastraba	яструба	jastrab	яструб	GEN;N;SG
jastrabovi	яструбові	jastrab	яструб	ESS;N;SG
jastraby	яструби	jastrab	яструб	N;NOM;PL
jastrabom	яструбам	jastrab	яструб	DAT;N;PL
kníh	книг	kniha	книга	GEN;N;PL
knihe	книзі	kniha	книга	DAT;N;SG
knihy	книги	kniha	книга	N;NOM;PL
kniha	книга	kniha	книга	N;NOM;SG
knihu	книгу	kniha	книга	ACC;N;SG
knihe	книзі	kniha	книга	ESS;N;SG
knihám	книгам	kniha	книга	DAT;N;PL
knihy	книги	kniha	книга	ACC;N;PL
knihy	книги	kniha	книга	GEN;N;SG
knihami	книгами	kniha	книга	INS;N;PL
knihách	книгах	kniha	книга	ESS;N;PL
knihou	книгою	kniha	книга	INS;N;SG
kniha	книжка	kniha	книжка	N;NOM;SG
knihu	книжку	kniha	книжка	ACC;N;SG
knihách	книжках	kniha	книжка	ESS;N;PL
knihy	книжки	kniha	книжка	GEN;N;SG
knihou	книжкою	kniha	книжка	INS;N;SG
knihy	книжки	kniha	книжка	N;NOM;PL
knihe	книжці	kniha	книжка	ESS;N;SG
knihe	книжці	kniha	книжка	DAT;N;SG
kníh	книжок	kniha	книжка	GEN;N;PL
knihám	книжкам	kniha	книжка	DAT;N;PL
knihy	книжки	kniha	книжка	ACC;N;PL
knihami	книжками	kniha	книжка	INS;N;PL
kocúra	кота	kocúr	кіт	GEN;N;SG
