abdikovať	отречься	abdikovať	отречься	NFIN;V
atómového	атомного	atómový	атомный	ADJ;GEN;MASC;SG
atómovej	атомной	atómový	атомный	ADJ;FEM;GEN;SG
atómovými	атомными	atómový	атомный	ADJ;INS;PL
atómovému	атомному	atómový	атомный	ADJ;DAT;NEUT;SG
atómové	атомное	atómový	атомный	ACC;ADJ;NEUT;SG
atómovom	атомном	atómový	атомный	ADJ;ESS;NEUT;SG
atómové	атомных	atómový	атомный	ACC;ADJ;PL
atómovému	атомному	atómový	атомный	ADJ;DAT;MASC;SG
atómovým	атомным	atómový	атомный	ADJ;DAT;PL
atómovom	ядерном	atómový	ядерный	ADJ;ESS;NEUT;SG
atómový	ядерный	atómový	ядерный	ADJ;MASC;NOM;SG
atómového	ядерного	atómový	ядерный	ADJ;GEN;NEUT;SG
atómové	ядерное	atómový	ядерный	ADJ;NEUT;NOM;SG
atómové	ядерное	atómový	ядерный	ACC;ADJ;NEUT;SG
atómové	ядерных	atómový	ядерный	ACC;ADJ;PL
atómových	ядерных	atómový	ядерный	ADJ;ESS;PL
atómovou	ядерной	atómový	ядерный	ADJ;FEM;INS;SG
atómovej	ядерной	atómový	ядерный	ADJ;DAT;FEM;SG
atómovým	ядерным	atómový	ядерный	ADJ;DAT;PL
atómový	ядерный	atómový	ядерный	ACC;ADJ;INAN;MASC;SG
atómovým	ядерным	atómový	ядерный	ADJ;INS;MASC;SG
atómového	ядерного	atómový	ядерный	ADJ;GEN;MASC;SG
atómovej	ядерной	atómový	ядерный	ADJ;ESS;FEM;SG
atómové	ядерные	atómový	ядерный	ADJ;NOM;PL
atómovému	ядерному	atómový	ядерный	ADJ;DAT;NEUT;SG
atómových	ядерных	atómový	ядерный	ADJ;GEN;PL
atómovú	ядерную	atómový	ядерный	ACC;ADJ;FEM;SG
atómovom	ядерном	atómový	ядерный	ADJ;ESS;MASC;SG
atómovému	ядерному	atómový	ядерный	ADJ;DAT;MASC;SG
atómovými	ядерными	atómový	ядерный	ADJ;INS;PL
atómovým	ядерным	atómový	ядерный	ADJ;INS;NEUT;SG
atómová	ядерная	atómový	ядерный	ADJ;FEM;NOM;SG
atómovej	ядерной	atómový	ядерный	ADJ;FEM;GEN;SG
atómového	ядерного	atómový	ядерный	ACC;ADJ;MASC;SG
autorizovať	авторизовать	autorizovať	авторизовать	NFIN;V
baviť	позабавить	baviť	позабавить	NFIN;V
baviť	развлечь	baviť	развлечь	NFIN;V
bane	рудники	baňa	рудник	ACC;N;PL
bane	рудники	baňa	рудник	N;NOM;PL
baniam	рудникам	baňa	рудник	DAT;N;PL
baňa	рудник	baňa	рудник	N;NOM;SG
bane	рудника	baňa	рудник	GEN;N;SG
baňu	рудник	baňa	рудник	ACC;N;SG
baňou	рудником	baňa	рудник	INS;N;SG
baniach	рудниках	baňa	рудник	ESS;N;PL
baní	рудников	baňa	рудник	GEN;N;PL
bani	руднику	baňa	рудник	DAT;N;SG
bani	руднике	baňa	рудник	ESS;N;SG
baňami	рудниками	baňa	рудник	INS;N;PL
bani	шахте	baňa	шахта	ESS;N;SG
baňou	шахтой	baňa	шахта	INS;N;SG
baniach	шахтах	baňa	шахта	ESS;N;PL
baňu	шахту	baňa	шахта	ACC;N;SG
baní	шахт	baňa	шахта	GEN;N;PL
bani	шахте	baňa	шахта	DAT;N;SG
bane	шахты	baňa	шахта	ACC;N;PL
baňa	шахта	baňa	шахта	N;NOM;SG
bane	шахты	baňa	шахта	N;NOM;PL
baňami	шахтами	baňa	шахта	INS;N;PL
bane	шахты	baňa	шахта	GEN;N;SG
baniam	шахтам	baňa	шахта	DAT;N;PL
benzín	бензин	benzín	бензин	ACC;N;SG
benzínu	бензину	benzín	бензин	DAT;N;SG
benzíne	бензине	benzín	бензин	ESS;N;SG
benzína	бензина	benzín	бензин	GEN;N;SG
benzín	бензин	benzín	бензин	N;NOM;SG
benzínom	бензином	benzín	бензин	INS;N;SG
bielizní	одежд	bielizeň	одежда	GEN;N;PL
bielizniach	одеждах	bielizeň	одежда	ESS;N;PL
bielizeň	одежда	bielizeň	одежда	N;NOM;SG
bielizni	одежде	bielizeň	одежда	ESS;N;SG
bielizniam	одеждам	bielizeň	одежда	DAT;N;PL
bielizni	одежде	bielizeň	одежда	DAT;N;SG
bielizňami	одеждами	bielizeň	одежда	INS;N;PL
bielizňou	одеждой	bielizeň	одежда	INS;N;SG
bielizeň	одежду	bielizeň	одежда	ACC;N;SG
bielizne	одежды	bielizeň	одежда	N;NOM;PL
bielizne	одежды	bielizeň	одежда	GEN;N;SG
bielizeň	платье	bielizeň	платье	ACC;N;SG
bielizni	платье	bielizeň	платье	ESS;N;SG
bielizne	платья	bielizeň	платье	ACC;N;PL
bielizní	платьев	bielizeň	платье	GEN;N;PL
bielizňou	платьем	bielizeň	платье	INS;N;SG
bielizne	платья	bielizeň	платье	N;NOM;PL
bielizne	платья	bielizeň	платье	GEN;N;SG
bielizni	платью	bielizeň	платье	DAT;N;SG
bielizeň	платье	bielizeň	платье	N;NOM;SG
bielizniach	платьях	bielizeň	платье	ESS;N;PL
bielizniam	платьям	bielizeň	платье	DAT;N;PL
bielizňami	платьями	bielizeň	платье	INS;N;PL
biť	избить	biť	избить	NFIN;V
bodať	ужалить	bodať	ужалить	NFIN;V
bodať	укусить	bodať	укусить	NFIN;V
bohyňu	богиню	bohyňa	богиня	ACC;N;SG
bohyniach	богинях	bohyňa	богиня	ESS;N;PL
bohyňa	богиня	bohyňa	богиня	N;NOM;SG
bohyni	богине	bohyňa	богиня	ESS;N;SG
bohyne	богини	bohyňa	богиня	N;NOM;PL
bohyniam	богиням	bohyňa	богиня	DAT;N;PL
bohyni	богине	bohyňa	богиня	DAT;N;SG
bohýň	богинь	bohyňa	богиня	GEN;N;PL
bohyňou	богиней	bohyňa	богиня	INS;N;SG
bohyne	богини	bohyňa	богиня	GEN;N;SG
bohyne	богинь	bohyňa	богиня	ACC;N;PL
bohyňami	богинями	bohyňa	богиня	INS;N;PL
bratranca	кузена	bratranec	кузен	ACC;N;SG
bratrancami	кузенами	bratranec	кузен	INS;N;PL
bratrancom	кузеном	bratranec	кузен	INS;N;SG
bratrancov	кузенов	bratranec	кузен	ACC;N;PL
bratranci	кузены	bratranec	кузен	N;NOM;PL
bratrancovi	кузену	bratranec	кузен	DAT;N;SG
bratrancovi	кузене	bratranec	кузен	ESS;N;SG
bratrancom	кузенам	bratranec	кузен	DAT;N;PL
bratrancov	кузенов	bratranec	кузен	GEN;N;PL
bratrancoch	кузенах	bratranec	кузен	ESS;N;PL
bratranec	кузен	bratranec	кузен	N;NOM;SG
bratranca	кузена	bratranec	кузен	GEN;N;SG
bratrancovi	кузине	bratranec	кузина	DAT;N;SG
bratrancami	кузинами	bratranec	кузина	INS;N;PL
bratrancovi	кузине	bratranec	кузина	ESS;N;SG
bratrancov	кузин	bratranec	кузина	GEN;N;PL
bratranca	кузину	bratranec	кузина	ACC;N;SG
bratranca	кузины	bratranec	кузина	GEN;N;SG
bratranci	кузины	bratranec	кузина	N;NOM;PL
bratrancoch	кузинах	bratranec	кузина	ESS;N;PL
bratrancom	кузиной	bratranec	кузина	INS;N;SG
bratrancov	кузин	bratranec	кузина	ACC;N;PL
bratranec	кузина	bratranec	кузина	N;NOM;SG
bratrancom	кузинам	bratranec	кузина	DAT;N;PL
bratia	братья	brat	брат	N;NOM;PL
brata	брата	brat	брат	ACC;N;SG
bratom	братом	brat	брат	INS;N;SG
bratovi	брату	brat	брат	DAT;N;SG
brata	брата	brat	брат	GEN;N;SG
bratov	братьев	brat	брат	GEN;N;PL
bratoch	братьях	brat	брат	ESS;N;PL
bratmi	братьями	brat	брат	INS;N;PL
bratom	братьям	brat	брат	DAT;N;PL
bratovi	брате	brat	брат	ESS;N;SG
brat	брат	brat	брат	N;NOM;SG
brzdiť	воспрепятствовать	brzdiť	воспрепятствовать	NFIN;V
brzdiť	затормозить	brzdiť	затормозить	NFIN;V
brániť	воспрепятствовать	brániť	воспрепятствовать	NFIN;V
brániť	загородить	brániť	загородить	NFIN;V
brániť	заслонить	brániť	заслонить	NFIN;V
budiť	разбудить	budiť	разбудить	NFIN;V
budovať	учредить	budovať	учредить	NFIN;V
budov	зданий	budova	здание	GEN;N;PL
budovu	здание	budova	здание	ACC;N;SG
budova	здание	budova	здание	N;NOM;SG
budovách	зданиях	budova	здание	ESS;N;PL
budovy	здания	budova	здание	N;NOM;PL
budovám	зданиям	budova	здание	DAT;N;PL
budovy	здания	budova	здание	GEN;N;SG
budove	здании	budova	здание	ESS;N;SG
budovami	зданиями	budova	здание	INS;N;PL
budove	зданию	budova	здание	DAT;N;SG
budovou	зданием	budova	здание	INS;N;SG
budovy	постройки	budova	постройка	GEN;N;SG
budovách	постройках	budova	постройка	ESS;N;PL
budove	постройке	budova	постройка	DAT;N;SG
budovu	постройку	budova	постройка	ACC;N;SG
budovami	постройками	budova	постройка	INS;N;PL
budovy	постройки	budova	постройка	ACC;N;PL
budovám	постройкам	budova	постройка	DAT;N;PL
budove	постройке	budova	постройка	ESS;N;SG
budovou	постройкой	budova	постройка	INS;N;SG
budovy	постройки	budova	постройка	N;NOM;PL
budov	построек	budova	постройка	GEN;N;PL
budova	постройка	budova	постройка	N;NOM;SG
budovami	строениями	budova	строение	INS;N;PL
budovy	строения	budova	строение	GEN;N;SG
budovách	строениях	budova	строение	ESS;N;PL
budovám	строениям	budova	строение	DAT;N;PL
budovou	строением	budova	строение	INS;N;SG
budovy	строения	budova	строение	N;NOM;PL
budove	строении	budova	строение	ESS;N;SG
budov	строений	budova	строение	GEN;N;PL
budove	строению	budova	строение	DAT;N;SG
budova	строение	budova	строение	N;NOM;SG
budovu	строение	budova	строение	ACC;N;SG
bundy	жакета	bunda	жакет	GEN;N;SG
búnd	жакетов	bunda	жакет	GEN;N;PL
bundu	жакет	bunda	жакет	ACC;N;SG
bunda	жакет	bunda	жакет	N;NOM;SG
bundám	жакетам	bunda	жакет	DAT;N;PL
bundy	жакеты	bunda	жакет	N;NOM;PL
bundami	жакетами	bunda	жакет	INS;N;PL
bunde	жакету	bunda	жакет	DAT;N;SG
bundách	жакетах	bunda	жакет	ESS;N;PL
bundou	жакетом	bunda	жакет	INS;N;SG
bunde	жакете	bunda	жакет	ESS;N;SG
bundy	жакеты	bunda	жакет	ACC;N;PL
bundy	куртки	bunda	куртка	N;NOM;PL
bunde	куртке	bunda	куртка	ESS;N;SG
bundách	куртках	bunda	куртка	ESS;N;PL
bunda	куртка	bunda	куртка	N;NOM;SG
bundám	курткам	bunda	куртка	DAT;N;PL
bundy	куртки	bunda	куртка	GEN;N;SG
bundami	куртками	bunda	куртка	INS;N;PL
bundu	куртку	bunda	куртка	ACC;N;SG
búnd	курток	bunda	куртка	GEN;N;PL
bunde	куртке	bunda	куртка	DAT;N;SG
bundou	курткой	bunda	куртка	INS;N;SG
bytu	апартаменту	byt	апартамент	DAT;N;SG
byty	апартаменты	byt	апартамент	N;NOM;PL
bytov	апартаментов	byt	апартамент	GEN;N;PL
bytom	апартаментам	byt	апартамент	DAT;N;PL
byte	апартаменте	byt	апартамент	ESS;N;SG
byty	апартаменты	byt	апартамент	ACC;N;PL
bytmi	апартаментами	byt	апартамент	INS;N;PL
bytom	апартаментом	byt	апартамент	INS;N;SG
byt	апартамент	byt	апартамент	N;NOM;SG
bytoch	апартаментах	byt	апартамент	ESS;N;PL
byt	апартамент	byt	апартамент	ACC;N;SG
bytu	апартамента	byt	апартамент	GEN;N;SG
bytov	жилищ	byt	жилище	GEN;N;PL
bytom	жилищем	byt	жилище	INS;N;SG
byt	жилище	byt	жилище	ACC;N;SG
bytu	жилища	byt	жилище	GEN;N;SG
bytoch	жилищах	byt	жилище	ESS;N;PL
bytu	жилищу	byt	жилище	DAT;N;SG
byte	жилище	byt	жилище	ESS;N;SG
bytom	жилищам	byt	жилище	DAT;N;PL
byt	жилище	byt	жилище	N;NOM;SG
byty	жилища	byt	жилище	N;NOM;PL
bytmi	жилищами	byt	жилище	INS;N;PL
byte	квартире	byt	квартира	ESS;N;SG
bytu	квартиры	byt	квартира	GEN;N;SG
bytmi	квартирами	byt	квартира	INS;N;PL
byt	квартиру	byt	квартира	ACC;N;SG
byt	квартира	byt	квартира	N;NOM;SG
bytov	квартир	byt	квартира	GEN;N;PL
bytoch	квартирах	byt	квартира	ESS;N;PL
bytom	квартирам	byt	квартира	DAT;N;PL
byty	квартиры	byt	квартира	N;NOM;PL
bytu	квартире	byt	квартира	DAT;N;SG
bytom	квартирой	byt	квартира	INS;N;SG
byty	местожительства	byt	местожительство	ACC;N;PL
bytu	местожительству	byt	местожительство	DAT;N;SG
bytu	местожительства	byt	местожительство	GEN;N;SG
bytov	местожительств	byt	местожительство	GEN;N;PL
byt	местожительство	byt	местожительство	ACC;N;SG
byte	местожительстве	byt	местожительство	ESS;N;SG
byt	местожительство	byt	местожительство	N;NOM;SG
bytoch	местожительствах	byt	местожительство	ESS;N;PL
bytmi	местожительствами	byt	местожительство	INS;N;PL
bytom	местожительствам	byt	местожительство	DAT;N;PL
byty	местожительства	byt	местожительство	N;NOM;PL
bytom	местожительством	byt	местожительство	INS;N;SG
bytoch	обиталищах	byt	обиталище	ESS;N;PL
bytov	обиталищ	byt	обиталище	GEN;N;PL
bytom	обиталищам	byt	обиталище	DAT;N;PL
byte	обиталище	byt	обиталище	ESS;N;SG
bytom	обиталищем	byt	обиталище	INS;N;SG
byty	обиталища	byt	обиталище	N;NOM;PL
bytmi	обиталищами	byt	обиталище	INS;N;PL
byty	обиталища	byt	обиталище	ACC;N;PL
bytu	обиталища	byt	обиталище	GEN;N;SG
bytu	обиталищу	byt	обиталище	DAT;N;SG
byt	обиталище	byt	обиталище	N;NOM;SG
byt	обиталище	byt	обиталище	ACC;N;SG
byty	обители	byt	обитель	N;NOM;PL
bytmi	обителями	byt	обитель	INS;N;PL
byte	обители	byt	обитель	ESS;N;SG
bytom	обителям	byt	обитель	DAT;N;PL
byt	обитель	byt	обитель	N;NOM;SG
bytov	обителей	byt	обитель	GEN;N;PL
byt	обитель	byt	обитель	ACC;N;SG
bytom	обителью	byt	обитель	INS;N;SG
bytu	обители	byt	обитель	GEN;N;SG
bytu	обители	byt	обитель	DAT;N;SG
bytoch	обителях	byt	обитель	ESS;N;PL
báriu	барии	bárium	барий	ESS;N;SG
báriu	барию	bárium	барий	DAT;N;SG
bárium	барий	bárium	барий	N;NOM;SG
bária	бария	bárium	барий	GEN;N;SG
bárium	барий	bárium	барий	ACC;N;SG
báriom	барием	bárium	барий	INS;N;SG
básnik	бард	básnik	бард	N;NOM;SG
básnikoch	бардах	básnik	бард	ESS;N;PL
básnikovi	барде	básnik	бард	ESS;N;SG
básnikmi	бардами	básnik	бард	INS;N;PL
básnikom	бардом	básnik	бард	INS;N;SG
básnika	барда	básnik	бард	ACC;N;SG
básnika	барда	básnik	бард	GEN;N;SG
básnikom	бардам	básnik	бард	DAT;N;PL
básnikov	бардов	básnik	бард	GEN;N;PL
básnikovi	барду	básnik	бард	DAT;N;SG
básnici	барды	básnik	бард	N;NOM;PL
básnikov	бардов	básnik	бард	ACC;N;PL
básnikovi	поэту	básnik	поэт	DAT;N;SG
básnik	поэт	básnik	поэт	N;NOM;SG
básnikom	поэтам	básnik	поэт	DAT;N;PL
básnikmi	поэтами	básnik	поэт	INS;N;PL
básnika	поэта	básnik	поэт	ACC;N;SG
básnikom	поэтом	básnik	поэт	INS;N;SG
básnikoch	поэтах	básnik	поэт	ESS;N;PL
básnici	поэты	básnik	поэт	N;NOM;PL
básnikovi	поэте	básnik	поэт	ESS;N;SG
básnikov	поэтов	básnik	поэт	GEN;N;PL
básnika	поэта	básnik	поэт	GEN;N;SG
básnikovi	поэтессе	básnik	поэтесса	DAT;N;SG
básnikov	поэтесс	básnik	поэтесса	ACC;N;PL
básnikom	поэтессам	básnik	поэтесса	DAT;N;PL
básnikov	поэтесс	básnik	поэтесса	GEN;N;PL
básnikom	поэтессой	básnik	поэтесса	INS;N;SG
básnikmi	поэтессами	básnik	поэтесса	INS;N;PL
básnika	поэтессы	básnik	поэтесса	GEN;N;SG
básnik	поэтесса	básnik	поэтесса	N;NOM;SG
básnikoch	поэтессах	básnik	поэтесса	ESS;N;PL
básnika	поэтессу	básnik	поэтесса	ACC;N;SG
básnici	поэтессы	básnik	поэтесса	N;NOM;PL
básnikovi	поэтессе	básnik	поэтесса	ESS;N;SG
ceruzy	карандаши	ceruza	карандаш	N;NOM;PL
ceruze	карандаше	ceruza	карандаш	ESS;N;SG
ceruza	карандаш	ceruza	карандаш	N;NOM;SG
ceruzám	карандашам	ceruza	карандаш	DAT;N;PL
ceruzy	карандаша	ceruza	карандаш	GEN;N;SG
ceruzami	карандашами	ceruza	карандаш	INS;N;PL
ceruze	карандашу	ceruza	карандаш	DAT;N;SG
ceruzou	карандашом	ceruza	карандаш	INS;N;SG
ceruzu	карандаш	ceruza	карандаш	ACC;N;SG
ceruzách	карандашах	ceruza	карандаш	ESS;N;PL
cerúz	карандашей	ceruza	карандаш	GEN;N;PL
cestu	вояж	cesta	вояж	ACC;N;SG
cesta	вояж	cesta	вояж	N;NOM;SG
ceste	вояжу	cesta	вояж	DAT;N;SG
cestou	вояжем	cesta	вояж	INS;N;SG
ceste	вояже	cesta	вояж	ESS;N;SG
cestám	вояжам	cesta	вояж	DAT;N;PL
cesty	вояжи	cesta	вояж	ACC;N;PL
cesty	вояжа	cesta	вояж	GEN;N;SG
cesty	вояжи	cesta	вояж	N;NOM;PL
cestami	вояжами	cesta	вояж	INS;N;PL
ciest	вояжей	cesta	вояж	GEN;N;PL
cestách	вояжах	cesta	вояж	ESS;N;PL
cesty	дорожки	cesta	дорожка	ACC;N;PL
ceste	дорожке	cesta	дорожка	DAT;N;SG
cestami	дорожками	cesta	дорожка	INS;N;PL
cesty	дорожки	cesta	дорожка	GEN;N;SG
cestách	дорожках	cesta	дорожка	ESS;N;PL
cesty	дорожки	cesta	дорожка	N;NOM;PL
cestu	дорожку	cesta	дорожка	ACC;N;SG
cestou	дорожкой	cesta	дорожка	INS;N;SG
cestám	дорожкам	cesta	дорожка	DAT;N;PL
cesta	дорожка	cesta	дорожка	N;NOM;SG
ciest	дорожек	cesta	дорожка	GEN;N;PL
ceste	дорожке	cesta	дорожка	ESS;N;SG
cestu	маршрут	cesta	маршрут	ACC;N;SG
cesta	маршрут	cesta	маршрут	N;NOM;SG
cestami	маршрутами	cesta	маршрут	INS;N;PL
cestách	маршрутах	cesta	маршрут	ESS;N;PL
cestou	маршрутом	cesta	маршрут	INS;N;SG
cesty	маршрута	cesta	маршрут	GEN;N;SG
ciest	маршрутов	cesta	маршрут	GEN;N;PL
ceste	маршруту	cesta	маршрут	DAT;N;SG
cestám	маршрутам	cesta	маршрут	DAT;N;PL
ceste	маршруте	cesta	маршрут	ESS;N;SG
cesty	маршруты	cesta	маршрут	N;NOM;PL
cestách	плаваниях	cesta	плавание	ESS;N;PL
cesty	плавания	cesta	плавание	GEN;N;SG
ceste	плаванию	cesta	плавание	DAT;N;SG
cestami	плаваниями	cesta	плавание	INS;N;PL
cesta	плавание	cesta	плавание	N;NOM;SG
cesty	плавания	cesta	плавание	N;NOM;PL
cestu	плавание	cesta	плавание	ACC;N;SG
cestou	плаванием	cesta	плавание	INS;N;SG
ceste	плавании	cesta	плавание	ESS;N;SG
ciest	плаваний	cesta	плавание	GEN;N;PL
cestám	плаваниям	cesta	плавание	DAT;N;PL
cesty	путешествия	cesta	путешествие	GEN;N;SG
ceste	путешествию	cesta	путешествие	DAT;N;SG
ceste	путешествии	cesta	путешествие	ESS;N;SG
cestách	путешествиях	cesta	путешествие	ESS;N;PL
cesta	путешествие	cesta	путешествие	N;NOM;SG
ciest	путешествий	cesta	путешествие	GEN;N;PL
cestu	путешествие	cesta	путешествие	ACC;N;SG
cesty	путешествия	cesta	путешествие	N;NOM;PL
cestám	путешествиям	cesta	путешествие	DAT;N;PL
cestami	путешествиями	cesta	путешествие	INS;N;PL
cestou	путешествием	cesta	путешествие	INS;N;SG
cestami	рейсами	cesta	рейс	INS;N;PL
cestách	рейсах	cesta	рейс	ESS;N;PL
cestou	рейсом	cesta	рейс	INS;N;SG
ceste	рейсе	cesta	рейс	ESS;N;SG
cesty	рейса	cesta	рейс	GEN;N;SG
cesta	рейс	cesta	рейс	N;NOM;SG
ceste	рейсу	cesta	рейс	DAT;N;SG
cesty	рейсы	cesta	рейс	N;NOM;PL
cestám	рейсам	cesta	рейс	DAT;N;PL
cestu	рейс	cesta	рейс	ACC;N;SG
ciest	рейсов	cesta	рейс	GEN;N;PL
cestami	способами	cesta	способ	INS;N;PL
cesty	способа	cesta	способ	GEN;N;SG
ceste	способу	cesta	способ	DAT;N;SG
cestách	способах	cesta	способ	ESS;N;PL
cesty	способы	cesta	способ	N;NOM;PL
cestou	способом	cesta	способ	INS;N;SG
cestu	способ	cesta	способ	ACC;N;SG
ciest	способов	cesta	способ	GEN;N;PL
ceste	способе	cesta	способ	ESS;N;SG
cesta	способ	cesta	способ	N;NOM;SG
cestám	способам	cesta	способ	DAT;N;PL
ceste	тропе	cesta	тропа	DAT;N;SG
ciest	троп	cesta	тропа	GEN;N;PL
cestu	тропу	cesta	тропа	ACC;N;SG
cestami	тропами	cesta	тропа	INS;N;PL
cesty	тропы	cesta	тропа	N;NOM;PL
cesty	тропы	cesta	тропа	GEN;N;SG
cestám	тропам	cesta	тропа	DAT;N;PL
cestou	тропой	cesta	тропа	INS;N;SG
ceste	тропе	cesta	тропа	ESS;N;SG
cestách	тропах	cesta	тропа	ESS;N;PL
cesta	тропа	cesta	тропа	N;NOM;SG
cesty	тропы	cesta	тропа	ACC;N;PL
cestám	тропинкам	cesta	тропинка	DAT;N;PL
ceste	тропинке	cesta	тропинка	DAT;N;SG
cesty	тропинки	cesta	тропинка	N;NOM;PL
cesta	тропинка	cesta	тропинка	N;NOM;SG
cestou	тропинкой	cesta	тропинка	INS;N;SG
cestu	тропинку	cesta	тропинка	ACC;N;SG
cestách	тропинках	cesta	тропинка	ESS;N;PL
ciest	тропинок	cesta	тропинка	GEN;N;PL
cestami	тропинками	cesta	тропинка	INS;N;PL
cesty	тропинки	cesta	тропинка	GEN;N;SG
ceste	тропинке	cesta	тропинка	ESS;N;SG
cestovateľom	путешественникам	cestovateľ	путешественник	DAT;N;PL
cestovalia	путешественники	cestovateľ	путешественник	N;NOM;PL
cestovateľa	путешественника	cestovateľ	путешественник	GEN;N;SG
cestovateľa	путешественника	cestovateľ	путешественник	ACC;N;SG
cestovateľovi	путешественнику	cestovateľ	путешественник	DAT;N;SG
cestovateľov	путешественников	cestovateľ	путешественник	ACC;N;PL
cestovateľov	путешественников	cestovateľ	путешественник	GEN;N;PL
cestovateľovi	путешественнике	cestovateľ	путешественник	ESS;N;SG
cestovateľmi	путешественниками	cestovateľ	путешественник	INS;N;PL
cestovateľ	путешественник	cestovateľ	путешественник	N;NOM;SG
cestovateľoch	путешественниках	cestovateľ	путешественник	ESS;N;PL
cestovateľom	путешественником	cestovateľ	путешественник	INS;N;SG
cestovateľom	путником	cestovateľ	путник	INS;N;SG
cestovateľa	путника	cestovateľ	путник	GEN;N;SG
cestovateľoch	путниках	cestovateľ	путник	ESS;N;PL
cestovateľom	путникам	cestovateľ	путник	DAT;N;PL
cestovateľ	путник	cestovateľ	путник	N;NOM;SG
cestovateľov	путников	cestovateľ	путник	ACC;N;PL
cestovateľmi	путниками	cestovateľ	путник	INS;N;PL
cestovateľovi	путнике	cestovateľ	путник	ESS;N;SG
cestovateľa	путника	cestovateľ	путник	ACC;N;SG
cestovalia	путники	cestovateľ	путник	N;NOM;PL
cestovateľov	путников	cestovateľ	путник	GEN;N;PL
cestovateľovi	путнику	cestovateľ	путник	DAT;N;SG
